Sr No,Program Name,URL,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender
1,Bulldozer Training 3 Day Workout Split,https://www.muscleandstrength.com/workouts/bulldozer-training-3-day-workout-split,Split,Intermediate,8 weeks,3,30-45 minutes,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Male
2,Single Pair Dumbbell Bodyweight Workout,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female
3,Muscle And Strength Womens Fat Loss Workout,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout,Split,Intermediate,10 weeks,7,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Female
4,Spring Fat Melter,https://www.muscleandstrength.com/workouts/spring-fat-melter,Split,Beginner,6 weeks,3,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells, Machines",Male & Female
5,Myers 30 Day Shred,https://www.muscleandstrength.com/workouts/myers-30-day-shred,Split,Beginner,4 weeks,3,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Machines",Male & Female
6,Get Ripped Supersets Giant Sets,https://www.muscleandstrength.com/workouts/get-ripped-supersets-giant-sets,Split,Beginner,12 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Other",Male
7,Whitney Reid Fast 21 Program,https://www.muscleandstrength.com/workouts/whitney-reid-fast-21-program,Split,Intermediate,3 weeks,6,45-60 minutes,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other",Male & Female
8,Build Own Crossfit Daily Workout,https://www.muscleandstrength.com/workouts/build-own-crossfit-daily-workout,Full Body,Beginner,12 weeks,3,45-60 minutes,"Barbell, Bodyweight, Kettle Bells",Male & Female
9,Kettlebell Cardio Complex Smoke Fat Conditioning,https://www.muscleandstrength.com/workouts/kettlebell-cardio-complex-smoke-fat-conditioning,Full Body,Beginner,6 weeks,3,15-30 minutes,Kettle Bells,Male & Female
10,12 Week Fat Annihilation Workout,https://www.muscleandstrength.com/workouts/12-week-fat-annihilation-workout,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female
11,Return To Ripped,https://www.muscleandstrength.com/workouts/return-to-ripped,Split,Intermediate,6 weeks,4,45-70 minutes,"Bands, Barbell, Cables, Dumbbells, Other",Male & Female
12,Cut Like Cutler Cycle 3,https://www.muscleandstrength.com/workouts/cut-like-cutler-cycle-3,Split,Beginner,2 weeks,5,60-75 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Male & Female
13,10 Week Fat Torcher,https://www.muscleandstrength.com/workouts/10-week-fat-torcher,Split,Intermediate,10 weeks,7,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female
14,Daisy Ridley Last Jedi Inspired Workout Program,https://www.muscleandstrength.com/workouts/daisy-ridley-last-jedi-inspired-workout-program,Full Body,Beginner,12 weeks,7,60-90 minutes,"Bands, Barbell, Bodyweight, Dumbbells, Kettle Bells, Other",Male & Female
15,6 Week Extreme Fat Loss Workout,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout,Full Body,Intermediate,6 weeks,3,45-75 minutes,"Barbell, Bodyweight, Dumbbells",Male & Female
16,Core Strength Fat Burn Workout,https://www.muscleandstrength.com/workouts/core-strength-fat-burn-workout,Full Body,Intermediate,6 weeks,6,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Other",Male & Female
17,Summer Shape Up Womens Home Workout,https://www.muscleandstrength.com/workouts/summer-shape-up-womens-home-workout,Split,Beginner,6 weeks,5,30 minutes,"Bands, Barbell, Bodyweight, Dumbbells",Female
